35.91708,140.0533,"Komaba Museum, Graduate School of Arts and Sciences, The University of Tokyo"
35.69177,139.75302,Science Museum
35.6782,139.74738,House of Representatives Constitution Memorial Hall
35.69177,139.75302,Bicycle Culture Center
35.69438,139.75159,Showa Museum
35.69249,139.7468,Senju Bunko Museum
38.16827,140.88147,General Museum of Telecommunications
35.6918,139.7644,Tenri Gallery
43.10885,141.54779,Japan Camera Museum
35.69771,139.7614,Meiji University Museum
35.6944,139.74281,Yasukuni Shrine Museum
35.67683,139.77045,Pen Station
35.68259,139.77589,Kite Museum
35.66605,139.76854,Chuo Ward Tsukiji Social Education Center and Local History Museum
35.68539,139.77219,"Currency Museum, Institute for Monetary and Economic Studies, Bank of Japan"
39.64232,141.9619,NHK Broadcasting Museum
35.6282,139.73264,UNICEF House
35.67519,139.73279,Toraya Gallery
35.64705,139.745,Minato City Minato Local History Museum
35.62625,139.74652,Tokyo University of Marine Science and Technology Fisheries Archives
35.6095,139.63377,Tokyo Metropolitan Archives
35.62922,139.73273,Logistics Museum
40.64497,140.59625,Michio Miyagi Memorial Museum
35.68692,140.04659,Koryo Museum
35.75436,139.74078,Printing Bureau Museum (Museum of Bills and Stamps)
35.06595,136.68993,Shinjuku Museum of History
35.70884,139.71902,"Dr. Tsubouchi Memorial Theatre Museum, Waseda University"
35.67805,139.71486,Prince Chichibu Memorial Sports Museum
35.69062,139.71979,Fishing Culture Museum
35.69719,139.71954,"Tokyo Women's Medical University Archives, Yoshioka Yayoi Memorial Hall"
35.83922,139.63931,"Fire Museum, Fire and Disaster Prevention Reference Center, Tokyo Fire Department"
35.69202,139.69246,Peace Memorial Exhibition and Museum
35.68265,139.71832,Min'on Music Museum
35.70906,139.74171,Printing Museum
35.71415,139.76321,The University of Tokyo Research Museum
38.22723,140.32025,"Koishikawa Branch, The University of Tokyo Research Museum"
41.88855,140.63831,Tokyo Metropolitan Waterworks History Museum
35.96329,139.32169,"Naruse Memorial Hall, Japan Women's University"
35.91318,140.05699,Bunkyo Furusato History Museum
35.70528,139.75171,Baseball and Physical Education Museum
36.12806,139.45967,World Bag Museum
35.71572,139.77641,National Museum of Nature and Science
35.71188,139.79169,Taishokan Museum
35.72557,139.79303,Taito City Ichiyo Memorial Museum
35.71229,139.76869,Taito City Museum of Folklore
35.72483,139.80815,Leather Industry Museum
35.71382,139.8058,Sumida Museum of Local Culture
35.72638,139.81308,Seiko Watch Museum
35.69392,139.8096,Brake Museum
35.69616,139.79172,Sumo Museum
35.69644,139.79587,Tokyo Metropolitan Edo Tokyo Museum
35.69975,139.79692,Tokyo Reconstruction Museum
35.7235,139.81895,Tobu Museum
35.65033,139.79021,Gastronomy and Gas Science Museum
35.68486,139.80185,"Tagawa Suiawo-Norakuro Museum, Morishita Cultural Center, Koto-ku, Tokyo"
35.68153,139.80017,"Fukagawa Edo Museum, Koto-ku, Tokyo"
